group;days;time ;absorbance;deltaDO;value
ctrl;day10;3;0,077;-0,026;-2,29411764705882
ctrl;day10;3;0,056;0,032;2,82352941176471
ctrl;day10;3;0,059;-0,002;-0,176470588235294
ctrl;day10;4;0,057;0,02;1,76470588235294
ctrl;day10;4;0,074;0,014;1,23529411764706
ctrl;day10;4;0,076;0;0
ctrl;day10;4;0,051;0,001;0,0882352941176471
ctrl;day10;4;0,088;-0,029;-2,55882352941176
10µg/L;day10;1;0,035;0,053;4,67647058823529
10µg/L;day10;1;0,031;0,023;2,02941176470588
10µg/L;day10;1;0,054;0,013;1,14705882352941
10µg/L;day10;1;0,05;0,015;1,32352941176471
10µg/L;day10;1;0,063;0,02;1,76470588235294
10µg/L;day10;1;0,048;0,015;1,32352941176471
10µg/L;day10;2;0,088;-0,001;-0,0882352941176471
10µg/L;day10;2;0,054;0;0
10µg/L;day10;2;0,067;-0,005;-0,441176470588236
10µg/L;day10;2;0,065;-0,001;-0,0882352941176471
10µg/L;day10;2;0,083;-0,002;-0,176470588235294
10µg/L;day10;2;0,063;-0,002;-0,176470588235294
10µg/L;day10;3;0,087;-0,001;-0,0882352941176471
10µg/L;day10;3;0,054;0,002;0,176470588235294
10µg/L;day10;3;0,062;0,001;0,0882352941176471
10µg/L;day10;3;0,064;0,001;0,0882352941176471
10µg/L;day10;3;0,081;0,002;0,176470588235294
10µg/L;day10;3;0,061;0,001;0,0882352941176471
10µg/L;day10;4;0,086;-0,00199999999999999;-0,176470588235293
10µg/L;day10;4;0,056;0,001;0,0882352941176471
10µg/L;day10;4;0,063;0,001;0,0882352941176471
10µg/L;day10;4;0,065;0,003;0,264705882352941
10µg/L;day10;4;0,083;0,00599999999999999;0,529411764705882
10µg/L;day10;4;0,062;0;0
100µg/L;day10;1;0,084;0,076;6,70588235294118
100µg/L;day10;1;0,088;0,005;0,441176470588236
100µg/L;day10;1;0,092;-0,004;-0,352941176470589
100µg/L;day10;1;0,109;-0,01;-0,88235294117647
100µg/L;day10;1;0,109;-0,024;-2,11764705882353
100µg/L;day10;1;0,056;0,033;2,91176470588235
100µg/L;day10;2;0,16;0,002;0,176470588235294
100µg/L;day10;2;0,093;0,005;0,441176470588236
100µg/L;day10;2;0,088;0,004;0,352941176470589
100µg/L;day10;2;0,099;0,016;1,41176470588235
100µg/L;day10;2;0,085;-0,005;-0,441176470588236
100µg/L;day10;2;0,089;0,00700000000000001;0,61764705882353
100µg/L;day10;3;0,162;0,00700000000000001;0,61764705882353
100µg/L;day10;3;0,098;0,003;0,264705882352941
100µg/L;day10;3;0,092;0,00700000000000001;0,61764705882353
100µg/L;day10;3;0,115;0,00299999999999999;0,26470588235294
100µg/L;day10;3;0,08;-0,001;-0,0882352941176471
100µg/L;day10;3;0,096;0,004;0,352941176470589
100µg/L;day10;4;0,169;0,00599999999999998;0,52941176470588
100µg/L;day10;4;0,101;0,000999999999999987;0,0882352941176459
100µg/L;day10;4;0,099;0,00299999999999999;0,26470588235294
100µg/L;day10;4;0,118;0,004;0,352941176470589
100µg/L;day10;4;0,079;0;0
100µg/L;day10;4;0,1;0,00299999999999999;0,26470588235294
