modality;activity
ctrl;0,380335940363325
ctrl;0,459665954184438
ctrl;0,378759184910234
ctrl;-0,0524665853434594
ctrl;0
10µg/L;0,182936589604628
10µg/L;0,190800161362422
10µg/L;0,182398540811674
10µg/L;0,365657452098874
100µg/L;0,0605856817858236
100µg/L;0,056957663368818
100µg/L;0,0522016025891995
100µg/L;0,213111697168278
