time;modality;value;absorbance_prot;C_prot;activity
j10;ctrl;0,165;2,773;2,89981818181818;174987,526413108
j10;ctrl;0,358;1,939;2,06581818181818;532948,01333367
j10;ctrl;0,087;1,634;1,76081818181818;151949,282976297
j10;ctrl;0,074;2,381;2,50781818181818;90746,4385089655
j10;ctrl;0,296;2,528;2,65481818181818;342886,861309909
j10;ctrl;0,105;2,687;2,81381818181818;114759,113297649
j10;10µg/L;0,261;1,986;2,11281818181818;379902,628368129
j10;10µg/L;0,038;2,861;2,98781818181818;39113,1998742298
j10;10µg/L;0,048;2,196;2,32281818181818;63550,6412347533
j10;10µg/L;0,149;2,607;2,73381818181818;167614,103023707
j10;10µg/L;0,056;2,729;2,85581818181818;60304,7316447246
j10;10µg/L;0,067;1,955;2,08181818181818;98975,0937870043
j10;10µg/L;0,302;2,978;3,10481818181818;299133,247887651
j10;10µg/L;0,187;2,871;2,99781818181818;191836,054500102
j10;100µg/L;0,155;2,81;2,93681818181818;162311,2245907
j10;100µg/L;0,103;1,849;1,97581818181818;160318,692986302
j10;100µg/L;0,043;2,781;2,90781818181818;45477,3472965613
j10;100µg/L;0,116;2,901;3,02781818181818;117820,839567161
j10;100µg/L;0,044;2,954;3,08081818181818;43921,8398695767
